miRNA,Gene,Disease,Score-m-g,Score-g-d
hsa-miR-30b-3p,COL11A2,Deafness Autosomal Dominant 13,90.902250367452,93.0
hsa-miR-30b-3p,COL11A2,Otospondylomegaepiphyseal dysplasia,90.902250367452,100.0
hsa-miR-3689a-3p,COL11A2,Pierre Robin syndrome with fetal chondrodysplasia,90.902250367452,82.0
hsa-miR-3689a-3p,COL11A2,Deafness Autosomal Dominant 13,90.902250367452,93.0
hsa-miR-3689a-3p,COL11A2,Otospondylomegaepiphyseal dysplasia,90.902250367452,100.0
hsa-miR-3689b-3p,COL11A2,Pierre Robin syndrome with fetal chondrodysplasia,90.902250367452,82.0
hsa-miR-3689b-3p,COL11A2,Deafness Autosomal Dominant 13,90.902250367452,93.0
hsa-miR-3689b-3p,COL11A2,Otospondylomegaepiphyseal dysplasia,90.902250367452,100.0
hsa-miR-3689c,COL11A2,Pierre Robin syndrome with fetal chondrodysplasia,90.902250367452,82.0
hsa-miR-3689c,COL11A2,Deafness Autosomal Dominant 13,90.902250367452,93.0
hsa-miR-3689c,COL11A2,Otospondylomegaepiphyseal dysplasia,90.902250367452,100.0
hsa-miR-3689d,COL11A2,Pierre Robin syndrome with fetal chondrodysplasia,81.0244716352677,82.0
hsa-miR-3689d,COL11A2,Deafness Autosomal Dominant 13,81.0244716352677,93.0
hsa-miR-3689d,COL11A2,Otospondylomegaepiphyseal dysplasia,81.0244716352677,100.0
hsa-miR-4270,COL11A2,Pierre Robin syndrome with fetal chondrodysplasia,84.1255700174,82.0
hsa-miR-4270,COL11A2,Deafness Autosomal Dominant 13,84.1255700174,93.0
hsa-miR-4270,COL11A2,Otospondylomegaepiphyseal dysplasia,84.1255700174,100.0
hsa-miR-4441,COL11A2,Pierre Robin syndrome with fetal chondrodysplasia,81.2822179421,82.0
hsa-miR-4441,COL11A2,Deafness Autosomal Dominant 13,81.2822179421,93.0
hsa-miR-4441,COL11A2,Otospondylomegaepiphyseal dysplasia,81.2822179421,100.0
hsa-miR-4728-5p,COL11A2,Pierre Robin syndrome with fetal chondrodysplasia,93.2498167054155,82.0
hsa-miR-4728-5p,COL11A2,Deafness Autosomal Dominant 13,93.2498167054155,93.0
hsa-miR-4728-5p,COL11A2,Otospondylomegaepiphyseal dysplasia,93.2498167054155,100.0
hsa-miR-4753-3p,COL11A2,Pierre Robin syndrome with fetal chondrodysplasia,94.1621501396883,82.0
hsa-miR-4753-3p,COL11A2,Deafness Autosomal Dominant 13,94.1621501396883,93.0
hsa-miR-4753-3p,COL11A2,Otospondylomegaepiphyseal dysplasia,94.1621501396883,100.0
hsa-miR-5692a,COL11A2,Pierre Robin syndrome with fetal chondrodysplasia,84.5419295436,82.0
hsa-miR-5692a,COL11A2,Deafness Autosomal Dominant 13,84.5419295436,93.0
hsa-miR-5692a,COL11A2,Otospondylomegaepiphyseal dysplasia,84.5419295436,100.0
hsa-miR-6737-5p,COL11A2,Pierre Robin syndrome with fetal chondrodysplasia,87.3037764481,82.0
hsa-miR-6737-5p,COL11A2,Deafness Autosomal Dominant 13,87.3037764481,93.0
hsa-miR-6737-5p,COL11A2,Otospondylomegaepiphyseal dysplasia,87.3037764481,100.0
hsa-miR-6779-5p,COL11A2,Pierre Robin syndrome with fetal chondrodysplasia,90.902250367452,82.0
hsa-miR-6779-5p,COL11A2,Deafness Autosomal Dominant 13,90.902250367452,93.0
hsa-miR-6779-5p,COL11A2,Otospondylomegaepiphyseal dysplasia,90.902250367452,100.0
hsa-miR-6780a-5p,COL11A2,Pierre Robin syndrome with fetal chondrodysplasia,94.229238212975,82.0
hsa-miR-6780a-5p,COL11A2,Deafness Autosomal Dominant 13,94.229238212975,93.0
hsa-miR-6780a-5p,COL11A2,Otospondylomegaepiphyseal dysplasia,94.229238212975,100.0
hsa-miR-6785-5p,COL11A2,Pierre Robin syndrome with fetal chondrodysplasia,93.2498167054155,82.0
hsa-miR-6785-5p,COL11A2,Deafness Autosomal Dominant 13,93.2498167054155,93.0
hsa-miR-6785-5p,COL11A2,Otospondylomegaepiphyseal dysplasia,93.2498167054155,100.0
hsa-miR-6799-5p,COL11A2,Pierre Robin syndrome with fetal chondrodysplasia,84.7564825000757,82.0
hsa-miR-6799-5p,COL11A2,Deafness Autosomal Dominant 13,84.7564825000757,93.0
hsa-miR-6799-5p,COL11A2,Otospondylomegaepiphyseal dysplasia,84.7564825000757,100.0
hsa-miR-6809-3p,COL11A2,Pierre Robin syndrome with fetal chondrodysplasia,97.6343227312766,82.0
hsa-miR-6809-3p,COL11A2,Deafness Autosomal Dominant 13,97.6343227312766,93.0
hsa-miR-6809-3p,COL11A2,Otospondylomegaepiphyseal dysplasia,97.6343227312766,100.0
hsa-miR-6812-5p,COL11A2,Pierre Robin syndrome with fetal chondrodysplasia,89.1007923835,82.0
hsa-miR-6812-5p,COL11A2,Deafness Autosomal Dominant 13,89.1007923835,93.0
hsa-miR-6812-5p,COL11A2,Otospondylomegaepiphyseal dysplasia,89.1007923835,100.0
hsa-miR-6819-5p,COL11A2,Pierre Robin syndrome with fetal chondrodysplasia,87.3037764481,82.0
hsa-miR-6819-5p,COL11A2,Deafness Autosomal Dominant 13,87.3037764481,93.0
hsa-miR-6819-5p,COL11A2,Otospondylomegaepiphyseal dysplasia,87.3037764481,100.0
hsa-miR-6851-5p,COL11A2,Pierre Robin syndrome with fetal chondrodysplasia,86.689021339496,82.0
hsa-miR-6851-5p,COL11A2,Deafness Autosomal Dominant 13,86.689021339496,93.0
hsa-miR-6851-5p,COL11A2,Otospondylomegaepiphyseal dysplasia,86.689021339496,100.0
hsa-miR-6883-5p,COL11A2,Pierre Robin syndrome with fetal chondrodysplasia,90.270595849209,82.0
hsa-miR-6883-5p,COL11A2,Deafness Autosomal Dominant 13,90.270595849209,93.0
hsa-miR-6883-5p,COL11A2,Otospondylomegaepiphyseal dysplasia,90.270595849209,100.0
hsa-miR-7106-5p,COL11A2,Pierre Robin syndrome with fetal chondrodysplasia,85.8055597363067,82.0
hsa-miR-7106-5p,COL11A2,Deafness Autosomal Dominant 13,85.8055597363067,93.0
hsa-miR-7106-5p,COL11A2,Otospondylomegaepiphyseal dysplasia,85.8055597363067,100.0
hsa-miR-12128,COL11A2,Pierre Robin syndrome with fetal chondrodysplasia,86.1153,82.0
hsa-miR-12128,COL11A2,Deafness Autosomal Dominant 13,86.1153,93.0
hsa-miR-12128,COL11A2,Otospondylomegaepiphyseal dysplasia,86.1153,100.0
hsa-miR-1236-3p,COL11A2,Pierre Robin syndrome with fetal chondrodysplasia,86.5502273092,82.0
hsa-miR-1236-3p,COL11A2,Deafness Autosomal Dominant 13,86.5502273092,93.0
hsa-miR-1236-3p,COL11A2,Otospondylomegaepiphyseal dysplasia,86.5502273092,100.0
hsa-miR-1273h-5p,COL11A2,Pierre Robin syndrome with fetal chondrodysplasia,90.902250367452,82.0
hsa-miR-1273h-5p,COL11A2,Deafness Autosomal Dominant 13,90.902250367452,93.0
hsa-miR-1273h-5p,COL11A2,Otospondylomegaepiphyseal dysplasia,90.902250367452,100.0
hsa-miR-149-3p,COL11A2,Pierre Robin syndrome with fetal chondrodysplasia,90.270595849209,82.0
hsa-miR-149-3p,COL11A2,Deafness Autosomal Dominant 13,90.270595849209,93.0
hsa-miR-149-3p,COL11A2,Otospondylomegaepiphyseal dysplasia,90.270595849209,100.0
hsa-miR-23a-3p,COL11A2,Pierre Robin syndrome with fetal chondrodysplasia,93.52892,82.0
hsa-miR-23a-3p,COL11A2,Deafness Autosomal Dominant 13,93.52892,93.0
hsa-miR-23a-3p,COL11A2,Otospondylomegaepiphyseal dysplasia,93.52892,100.0
hsa-miR-23b-3p,COL11A2,Pierre Robin syndrome with fetal chondrodysplasia,93.52892,82.0
hsa-miR-23b-3p,COL11A2,Deafness Autosomal Dominant 13,93.52892,93.0
hsa-miR-23b-3p,COL11A2,Otospondylomegaepiphyseal dysplasia,93.52892,100.0
hsa-miR-23c,COL11A2,Pierre Robin syndrome with fetal chondrodysplasia,93.52892,82.0
hsa-miR-23c,COL11A2,Deafness Autosomal Dominant 13,93.52892,93.0
hsa-miR-23c,COL11A2,Otospondylomegaepiphyseal dysplasia,93.52892,100.0
hsa-miR-30b-3p,COL11A2,Pierre Robin syndrome with fetal chondrodysplasia,90.902250367452,82.0
hsa-miR-30b-3p,COL11A2,Deafness Autosomal Dominant 13,90.902250367452,93.0
hsa-miR-30b-3p,COL11A2,Otospondylomegaepiphyseal dysplasia,90.902250367452,100.0
hsa-miR-3689a-3p,COL11A2,Pierre Robin syndrome with fetal chondrodysplasia,90.902250367452,82.0
hsa-miR-3689a-3p,COL11A2,Deafness Autosomal Dominant 13,90.902250367452,93.0
hsa-miR-3689a-3p,COL11A2,Otospondylomegaepiphyseal dysplasia,90.902250367452,100.0
hsa-miR-3689b-3p,COL11A2,Pierre Robin syndrome with fetal chondrodysplasia,90.902250367452,82.0
hsa-miR-3689b-3p,COL11A2,Deafness Autosomal Dominant 13,90.902250367452,93.0
hsa-miR-3689b-3p,COL11A2,Otospondylomegaepiphyseal dysplasia,90.902250367452,100.0
hsa-miR-3689c,COL11A2,Pierre Robin syndrome with fetal chondrodysplasia,90.902250367452,82.0
hsa-miR-3689c,COL11A2,Deafness Autosomal Dominant 13,90.902250367452,93.0
hsa-miR-3689c,COL11A2,Otospondylomegaepiphyseal dysplasia,90.902250367452,100.0
hsa-miR-3689d,COL11A2,Pierre Robin syndrome with fetal chondrodysplasia,81.0244716352677,82.0
hsa-miR-3689d,COL11A2,Deafness Autosomal Dominant 13,81.0244716352677,93.0
hsa-miR-3689d,COL11A2,Otospondylomegaepiphyseal dysplasia,81.0244716352677,100.0
hsa-miR-4270,COL11A2,Pierre Robin syndrome with fetal chondrodysplasia,84.1255700174,82.0
hsa-miR-4270,COL11A2,Deafness Autosomal Dominant 13,84.1255700174,93.0
hsa-miR-4270,COL11A2,Otospondylomegaepiphyseal dysplasia,84.1255700174,100.0
hsa-miR-4441,COL11A2,Pierre Robin syndrome with fetal chondrodysplasia,81.2822179421,82.0
hsa-miR-4441,COL11A2,Deafness Autosomal Dominant 13,81.2822179421,93.0
hsa-miR-4441,COL11A2,Otospondylomegaepiphyseal dysplasia,81.2822179421,100.0
hsa-miR-4705,COL11A2,Pierre Robin syndrome with fetal chondrodysplasia,89.8308,82.0
hsa-miR-4705,COL11A2,Deafness Autosomal Dominant 13,89.8308,93.0
hsa-miR-4705,COL11A2,Otospondylomegaepiphyseal dysplasia,89.8308,100.0
hsa-miR-4728-5p,COL11A2,Pierre Robin syndrome with fetal chondrodysplasia,93.2498167054155,82.0
hsa-miR-4728-5p,COL11A2,Deafness Autosomal Dominant 13,93.2498167054155,93.0
hsa-miR-4728-5p,COL11A2,Otospondylomegaepiphyseal dysplasia,93.2498167054155,100.0
hsa-miR-4753-3p,COL11A2,Pierre Robin syndrome with fetal chondrodysplasia,94.1621501396883,82.0
hsa-miR-4753-3p,COL11A2,Deafness Autosomal Dominant 13,94.1621501396883,93.0
hsa-miR-4753-3p,COL11A2,Otospondylomegaepiphyseal dysplasia,94.1621501396883,100.0
hsa-miR-5692a,COL11A2,Pierre Robin syndrome with fetal chondrodysplasia,87.7178536886,82.0
hsa-miR-5692a,COL11A2,Deafness Autosomal Dominant 13,87.7178536886,93.0
hsa-miR-5692a,COL11A2,Otospondylomegaepiphyseal dysplasia,87.7178536886,100.0
hsa-miR-6737-5p,COL11A2,Pierre Robin syndrome with fetal chondrodysplasia,87.3037764481,82.0
hsa-miR-6737-5p,COL11A2,Deafness Autosomal Dominant 13,87.3037764481,93.0
hsa-miR-6737-5p,COL11A2,Otospondylomegaepiphyseal dysplasia,87.3037764481,100.0
hsa-miR-6779-5p,COL11A2,Pierre Robin syndrome with fetal chondrodysplasia,90.902250367452,82.0
hsa-miR-6779-5p,COL11A2,Deafness Autosomal Dominant 13,90.902250367452,93.0
hsa-miR-6779-5p,COL11A2,Otospondylomegaepiphyseal dysplasia,90.902250367452,100.0
hsa-miR-6780a-5p,COL11A2,Pierre Robin syndrome with fetal chondrodysplasia,94.229238212975,82.0
hsa-miR-6780a-5p,COL11A2,Deafness Autosomal Dominant 13,94.229238212975,93.0
hsa-miR-6780a-5p,COL11A2,Otospondylomegaepiphyseal dysplasia,94.229238212975,100.0
hsa-miR-6785-5p,COL11A2,Pierre Robin syndrome with fetal chondrodysplasia,93.2498167054155,82.0
hsa-miR-6785-5p,COL11A2,Deafness Autosomal Dominant 13,93.2498167054155,93.0
hsa-miR-6785-5p,COL11A2,Otospondylomegaepiphyseal dysplasia,93.2498167054155,100.0
hsa-miR-6799-5p,COL11A2,Pierre Robin syndrome with fetal chondrodysplasia,84.7564825000757,82.0
hsa-miR-6799-5p,COL11A2,Deafness Autosomal Dominant 13,84.7564825000757,93.0
hsa-miR-6799-5p,COL11A2,Otospondylomegaepiphyseal dysplasia,84.7564825000757,100.0
hsa-miR-6809-3p,COL11A2,Pierre Robin syndrome with fetal chondrodysplasia,97.6343227312766,82.0
hsa-miR-6809-3p,COL11A2,Deafness Autosomal Dominant 13,97.6343227312766,93.0
hsa-miR-6809-3p,COL11A2,Otospondylomegaepiphyseal dysplasia,97.6343227312766,100.0
hsa-miR-6812-5p,COL11A2,Pierre Robin syndrome with fetal chondrodysplasia,89.1007923835,82.0
hsa-miR-6812-5p,COL11A2,Deafness Autosomal Dominant 13,89.1007923835,93.0
hsa-miR-6812-5p,COL11A2,Otospondylomegaepiphyseal dysplasia,89.1007923835,100.0
hsa-miR-6819-5p,COL11A2,Pierre Robin syndrome with fetal chondrodysplasia,87.3037764481,82.0
hsa-miR-6819-5p,COL11A2,Deafness Autosomal Dominant 13,87.3037764481,93.0
hsa-miR-6819-5p,COL11A2,Otospondylomegaepiphyseal dysplasia,87.3037764481,100.0
hsa-miR-6851-5p,COL11A2,Pierre Robin syndrome with fetal chondrodysplasia,86.689021339496,82.0
hsa-miR-6851-5p,COL11A2,Deafness Autosomal Dominant 13,86.689021339496,93.0
hsa-miR-6851-5p,COL11A2,Otospondylomegaepiphyseal dysplasia,86.689021339496,100.0
hsa-miR-6883-5p,COL11A2,Pierre Robin syndrome with fetal chondrodysplasia,90.270595849209,82.0
hsa-miR-6883-5p,COL11A2,Deafness Autosomal Dominant 13,90.270595849209,93.0
hsa-miR-6883-5p,COL11A2,Otospondylomegaepiphyseal dysplasia,90.270595849209,100.0
hsa-miR-7106-5p,COL11A2,Pierre Robin syndrome with fetal chondrodysplasia,85.8055597363067,82.0
hsa-miR-7106-5p,COL11A2,Deafness Autosomal Dominant 13,85.8055597363067,93.0
hsa-miR-7106-5p,COL11A2,Otospondylomegaepiphyseal dysplasia,85.8055597363067,100.0
hsa-miR-12128,COL11A2,Pierre Robin syndrome with fetal chondrodysplasia,86.1153,82.0
hsa-miR-12128,COL11A2,Deafness Autosomal Dominant 13,86.1153,93.0
hsa-miR-12128,COL11A2,Otospondylomegaepiphyseal dysplasia,86.1153,100.0
hsa-miR-1236-3p,COL11A2,Pierre Robin syndrome with fetal chondrodysplasia,86.5502273092,82.0
hsa-miR-1236-3p,COL11A2,Deafness Autosomal Dominant 13,86.5502273092,93.0
hsa-miR-1236-3p,COL11A2,Otospondylomegaepiphyseal dysplasia,86.5502273092,100.0
hsa-miR-1273h-5p,COL11A2,Pierre Robin syndrome with fetal chondrodysplasia,90.902250367452,82.0
hsa-miR-1273h-5p,COL11A2,Deafness Autosomal Dominant 13,90.902250367452,93.0
hsa-miR-1273h-5p,COL11A2,Otospondylomegaepiphyseal dysplasia,90.902250367452,100.0
hsa-miR-149-3p,COL11A2,Pierre Robin syndrome with fetal chondrodysplasia,90.270595849209,82.0
hsa-miR-149-3p,COL11A2,Deafness Autosomal Dominant 13,90.270595849209,93.0
hsa-miR-149-3p,COL11A2,Otospondylomegaepiphyseal dysplasia,90.270595849209,100.0
hsa-miR-23a-3p,COL11A2,Pierre Robin syndrome with fetal chondrodysplasia,86.3207,82.0
hsa-miR-23a-3p,COL11A2,Deafness Autosomal Dominant 13,86.3207,93.0
hsa-miR-23a-3p,COL11A2,Otospondylomegaepiphyseal dysplasia,86.3207,100.0
hsa-miR-23b-3p,COL11A2,Pierre Robin syndrome with fetal chondrodysplasia,86.3207,82.0
hsa-miR-23b-3p,COL11A2,Deafness Autosomal Dominant 13,86.3207,93.0
hsa-miR-23b-3p,COL11A2,Otospondylomegaepiphyseal dysplasia,86.3207,100.0
hsa-miR-23c,COL11A2,Pierre Robin syndrome with fetal chondrodysplasia,86.3207,82.0
hsa-miR-23c,COL11A2,Deafness Autosomal Dominant 13,86.3207,93.0
hsa-miR-23c,COL11A2,Otospondylomegaepiphyseal dysplasia,86.3207,100.0
hsa-miR-30b-3p,COL11A2,Pierre Robin syndrome with fetal chondrodysplasia,90.902250367452,82.0
hsa-miR-30b-3p,COL11A2,Deafness Autosomal Dominant 13,90.902250367452,93.0
hsa-miR-30b-3p,COL11A2,Otospondylomegaepiphyseal dysplasia,90.902250367452,100.0
hsa-miR-3689a-3p,COL11A2,Pierre Robin syndrome with fetal chondrodysplasia,90.902250367452,82.0
hsa-miR-3689a-3p,COL11A2,Deafness Autosomal Dominant 13,90.902250367452,93.0
hsa-miR-3689a-3p,COL11A2,Otospondylomegaepiphyseal dysplasia,90.902250367452,100.0
hsa-miR-3689b-3p,COL11A2,Pierre Robin syndrome with fetal chondrodysplasia,90.902250367452,82.0
hsa-miR-3689b-3p,COL11A2,Deafness Autosomal Dominant 13,90.902250367452,93.0
hsa-miR-3689b-3p,COL11A2,Otospondylomegaepiphyseal dysplasia,90.902250367452,100.0
hsa-miR-3689c,COL11A2,Pierre Robin syndrome with fetal chondrodysplasia,90.902250367452,82.0
hsa-miR-3689c,COL11A2,Deafness Autosomal Dominant 13,90.902250367452,93.0
hsa-miR-3689c,COL11A2,Otospondylomegaepiphyseal dysplasia,90.902250367452,100.0
hsa-miR-3689d,COL11A2,Pierre Robin syndrome with fetal chondrodysplasia,81.0244716352677,82.0
hsa-miR-3689d,COL11A2,Deafness Autosomal Dominant 13,81.0244716352677,93.0
hsa-miR-3689d,COL11A2,Otospondylomegaepiphyseal dysplasia,81.0244716352677,100.0
hsa-miR-4270,COL11A2,Pierre Robin syndrome with fetal chondrodysplasia,84.1255700174,82.0
hsa-miR-4270,COL11A2,Deafness Autosomal Dominant 13,84.1255700174,93.0
hsa-miR-4270,COL11A2,Otospondylomegaepiphyseal dysplasia,84.1255700174,100.0
hsa-miR-4441,COL11A2,Pierre Robin syndrome with fetal chondrodysplasia,81.2822179421,82.0
hsa-miR-4441,COL11A2,Deafness Autosomal Dominant 13,81.2822179421,93.0
hsa-miR-4441,COL11A2,Otospondylomegaepiphyseal dysplasia,81.2822179421,100.0
hsa-miR-4728-5p,COL11A2,Pierre Robin syndrome with fetal chondrodysplasia,93.2498167054155,82.0
hsa-miR-4728-5p,COL11A2,Deafness Autosomal Dominant 13,93.2498167054155,93.0
hsa-miR-4728-5p,COL11A2,Otospondylomegaepiphyseal dysplasia,93.2498167054155,100.0
hsa-miR-4753-3p,COL11A2,Pierre Robin syndrome with fetal chondrodysplasia,94.1621501396883,82.0
hsa-miR-4753-3p,COL11A2,Deafness Autosomal Dominant 13,94.1621501396883,93.0
hsa-miR-4753-3p,COL11A2,Otospondylomegaepiphyseal dysplasia,94.1621501396883,100.0
hsa-miR-5692a,COL11A2,Pierre Robin syndrome with fetal chondrodysplasia,84.5419295436,82.0
hsa-miR-5692a,COL11A2,Deafness Autosomal Dominant 13,84.5419295436,93.0
hsa-miR-5692a,COL11A2,Otospondylomegaepiphyseal dysplasia,84.5419295436,100.0
hsa-miR-6737-5p,COL11A2,Pierre Robin syndrome with fetal chondrodysplasia,87.3037764481,82.0
hsa-miR-6737-5p,COL11A2,Deafness Autosomal Dominant 13,87.3037764481,93.0
hsa-miR-6737-5p,COL11A2,Otospondylomegaepiphyseal dysplasia,87.3037764481,100.0
hsa-miR-6779-5p,COL11A2,Pierre Robin syndrome with fetal chondrodysplasia,90.902250367452,82.0
hsa-miR-6779-5p,COL11A2,Deafness Autosomal Dominant 13,90.902250367452,93.0
hsa-miR-6779-5p,COL11A2,Otospondylomegaepiphyseal dysplasia,90.902250367452,100.0
hsa-miR-6780a-5p,COL11A2,Pierre Robin syndrome with fetal chondrodysplasia,94.229238212975,82.0
hsa-miR-6780a-5p,COL11A2,Deafness Autosomal Dominant 13,94.229238212975,93.0
hsa-miR-6780a-5p,COL11A2,Otospondylomegaepiphyseal dysplasia,94.229238212975,100.0
hsa-miR-6785-5p,COL11A2,Pierre Robin syndrome with fetal chondrodysplasia,93.2498167054155,82.0
hsa-miR-6785-5p,COL11A2,Deafness Autosomal Dominant 13,93.2498167054155,93.0
hsa-miR-6785-5p,COL11A2,Otospondylomegaepiphyseal dysplasia,93.2498167054155,100.0
hsa-miR-6799-5p,COL11A2,Pierre Robin syndrome with fetal chondrodysplasia,84.7564825000757,82.0
hsa-miR-6799-5p,COL11A2,Deafness Autosomal Dominant 13,84.7564825000757,93.0
hsa-miR-6799-5p,COL11A2,Otospondylomegaepiphyseal dysplasia,84.7564825000757,100.0
hsa-miR-6809-3p,COL11A2,Pierre Robin syndrome with fetal chondrodysplasia,97.6343227312766,82.0
hsa-miR-6809-3p,COL11A2,Deafness Autosomal Dominant 13,97.6343227312766,93.0
hsa-miR-6809-3p,COL11A2,Otospondylomegaepiphyseal dysplasia,97.6343227312766,100.0
hsa-miR-6812-5p,COL11A2,Pierre Robin syndrome with fetal chondrodysplasia,89.1007923835,82.0
hsa-miR-6812-5p,COL11A2,Deafness Autosomal Dominant 13,89.1007923835,93.0
hsa-miR-6812-5p,COL11A2,Otospondylomegaepiphyseal dysplasia,89.1007923835,100.0
hsa-miR-6819-5p,COL11A2,Pierre Robin syndrome with fetal chondrodysplasia,87.3037764481,82.0
hsa-miR-6819-5p,COL11A2,Deafness Autosomal Dominant 13,87.3037764481,93.0
hsa-miR-6819-5p,COL11A2,Otospondylomegaepiphyseal dysplasia,87.3037764481,100.0
hsa-miR-6851-5p,COL11A2,Pierre Robin syndrome with fetal chondrodysplasia,86.689021339496,82.0
hsa-miR-6851-5p,COL11A2,Deafness Autosomal Dominant 13,86.689021339496,93.0
hsa-miR-6851-5p,COL11A2,Otospondylomegaepiphyseal dysplasia,86.689021339496,100.0
hsa-miR-6883-5p,COL11A2,Pierre Robin syndrome with fetal chondrodysplasia,90.270595849209,82.0
hsa-miR-6883-5p,COL11A2,Deafness Autosomal Dominant 13,90.270595849209,93.0
hsa-miR-6883-5p,COL11A2,Otospondylomegaepiphyseal dysplasia,90.270595849209,100.0
hsa-miR-7106-5p,COL11A2,Pierre Robin syndrome with fetal chondrodysplasia,85.8055597363067,82.0
hsa-miR-7106-5p,COL11A2,Deafness Autosomal Dominant 13,85.8055597363067,93.0
hsa-miR-7106-5p,COL11A2,Otospondylomegaepiphyseal dysplasia,85.8055597363067,100.0
hsa-miR-3162-5p,COL11A2,Pierre Robin syndrome with fetal chondrodysplasia,84.6265,82.0
hsa-miR-3162-5p,COL11A2,Deafness Autosomal Dominant 13,84.6265,93.0
hsa-miR-3162-5p,COL11A2,Otospondylomegaepiphyseal dysplasia,84.6265,100.0
hsa-miR-6760-5p,COL11A2,Pierre Robin syndrome with fetal chondrodysplasia,87.5515,82.0
hsa-miR-6760-5p,COL11A2,Deafness Autosomal Dominant 13,87.5515,93.0
hsa-miR-6760-5p,COL11A2,Otospondylomegaepiphyseal dysplasia,87.5515,100.0
hsa-miR-12128,VPS33B,Arthrogryposis renal dysfunction and cholestasis 1,84.6976,100.0
hsa-miR-1304-3p,VPS33B,Arthrogryposis renal dysfunction and cholestasis 1,91.03826,100.0
hsa-miR-15a-5p,VPS33B,Arthrogryposis renal dysfunction and cholestasis 1,93.2309620464,100.0
hsa-miR-15b-5p,VPS33B,Arthrogryposis renal dysfunction and cholestasis 1,93.2309620464,100.0
hsa-miR-16-5p,VPS33B,Arthrogryposis renal dysfunction and cholestasis 1,93.2309620464,100.0
hsa-miR-195-5p,VPS33B,Arthrogryposis renal dysfunction and cholestasis 1,93.2309620464,100.0
hsa-miR-371b-5p,VPS33B,Arthrogryposis renal dysfunction and cholestasis 1,93.90015,100.0
hsa-miR-373-5p,VPS33B,Arthrogryposis renal dysfunction and cholestasis 1,93.90015,100.0
hsa-miR-424-5p,VPS33B,Arthrogryposis renal dysfunction and cholestasis 1,89.9350586394,100.0
hsa-miR-4451,VPS33B,Arthrogryposis renal dysfunction and cholestasis 1,85.23812626,100.0
hsa-miR-4469,VPS33B,Arthrogryposis renal dysfunction and cholestasis 1,90.04408,100.0
hsa-miR-4524a-5p,VPS33B,Arthrogryposis renal dysfunction and cholestasis 1,98.2661121695282,100.0
hsa-miR-4524b-5p,VPS33B,Arthrogryposis renal dysfunction and cholestasis 1,98.2661121695282,100.0
hsa-miR-497-5p,VPS33B,Arthrogryposis renal dysfunction and cholestasis 1,89.9350586394,100.0
hsa-miR-5003-5p,VPS33B,Arthrogryposis renal dysfunction and cholestasis 1,92.6162,100.0
hsa-miR-616-5p,VPS33B,Arthrogryposis renal dysfunction and cholestasis 1,93.90015,100.0
hsa-miR-6838-5p,VPS33B,Arthrogryposis renal dysfunction and cholestasis 1,89.9350586394,100.0
hsa-miR-12128,VPS33B,Arthrogryposis renal dysfunction and cholestasis 1,84.6976,100.0
hsa-miR-1304-3p,VPS33B,Arthrogryposis renal dysfunction and cholestasis 1,91.03826,100.0
hsa-miR-15a-5p,VPS33B,Arthrogryposis renal dysfunction and cholestasis 1,87.460901775,100.0
hsa-miR-15b-5p,VPS33B,Arthrogryposis renal dysfunction and cholestasis 1,87.460901775,100.0
hsa-miR-16-5p,VPS33B,Arthrogryposis renal dysfunction and cholestasis 1,87.460901775,100.0
hsa-miR-195-5p,VPS33B,Arthrogryposis renal dysfunction and cholestasis 1,87.460901775,100.0
hsa-miR-371b-5p,VPS33B,Arthrogryposis renal dysfunction and cholestasis 1,93.90015,100.0
hsa-miR-373-5p,VPS33B,Arthrogryposis renal dysfunction and cholestasis 1,93.90015,100.0
hsa-miR-424-5p,VPS33B,Arthrogryposis renal dysfunction and cholestasis 1,82.0457138412,100.0
hsa-miR-4451,VPS33B,Arthrogryposis renal dysfunction and cholestasis 1,85.23812626,100.0
hsa-miR-4469,VPS33B,Arthrogryposis renal dysfunction and cholestasis 1,90.04408,100.0
hsa-miR-4524a-5p,VPS33B,Arthrogryposis renal dysfunction and cholestasis 1,98.2661121695282,100.0
hsa-miR-4524b-5p,VPS33B,Arthrogryposis renal dysfunction and cholestasis 1,98.2661121695282,100.0
hsa-miR-497-5p,VPS33B,Arthrogryposis renal dysfunction and cholestasis 1,82.0457138412,100.0
hsa-miR-5003-5p,VPS33B,Arthrogryposis renal dysfunction and cholestasis 1,92.6162,100.0
hsa-miR-616-5p,VPS33B,Arthrogryposis renal dysfunction and cholestasis 1,93.90015,100.0
hsa-miR-6838-5p,VPS33B,Arthrogryposis renal dysfunction and cholestasis 1,82.0457138412,100.0
hsa-miR-12128,VPS33B,Arthrogryposis renal dysfunction and cholestasis 1,84.6976,100.0
hsa-miR-1304-3p,VPS33B,Arthrogryposis renal dysfunction and cholestasis 1,91.03826,100.0
hsa-miR-15a-5p,VPS33B,Arthrogryposis renal dysfunction and cholestasis 1,87.460901775,100.0
hsa-miR-15b-5p,VPS33B,Arthrogryposis renal dysfunction and cholestasis 1,87.460901775,100.0
hsa-miR-16-5p,VPS33B,Arthrogryposis renal dysfunction and cholestasis 1,87.460901775,100.0
hsa-miR-195-5p,VPS33B,Arthrogryposis renal dysfunction and cholestasis 1,87.460901775,100.0
hsa-miR-371b-5p,VPS33B,Arthrogryposis renal dysfunction and cholestasis 1,93.90015,100.0
